yy,mm,dd,hh,mm_2,wdir,wspd,gst,wvht,dpd,apd,mwd,pres,atmp,wtmp,dewp,vis,tide
2024,01,01,00,18,60,2.1,99,99,99,99,999,1018.6,13.5,14.5,999,99,99
2024,01,01,01,18,80,1,99,99,99,99,999,1018.6,13.5,14.5,999,99,99
2024,01,01,02,18,100,1.5,99,99,99,99,999,1018.9,13.7,14.5,999,99,99
2024,01,01,03,18,80,1.5,99,99,99,99,999,1019.2,13.8,14.5,999,99,99
2024,01,01,04,18,60,1.5,99,99,99,99,999,1019.2,13.8,14.5,999,99,99
2024,01,01,05,18,350,4.1,99,99,99,99,999,1019.4,13.7,14.5,999,99,99
2024,01,01,06,18,20,4.1,99,99,99,99,999,1019.3,13.1,14.5,999,99,99
2024,01,01,07,18,30,4.1,99,99,99,99,999,1019.6,13,14.5,999,99,99
2024,01,01,08,18,60,2.6,99,99,99,99,999,1019.5,12.9,14.5,999,99,99
2024,01,01,09,18,70,4.1,99,99,99,99,999,1019.7,12.7,14.5,999,99,99
2024,01,01,10,18,70,4.6,99,99,99,99,999,1020.1,12.6,14.5,999,99,99
2024,01,01,11,18,40,3.6,99,99,99,99,999,1020.1,12.2,14.4,999,99,99
2024,01,01,12,18,30,2.6,99,99,99,99,999,1020.1,12.2,14.5,999,99,99
2024,01,01,13,18,60,4.6,99,99,99,99,999,1020.1,12.1,14.5,999,99,99
2024,01,01,14,18,90,6.2,99,99,99,99,999,1020.5,12,14.4,999,99,99
2024,01,01,15,18,80,5.7,99,99,99,99,999,1021,11.8,14.4,999,99,99
2024,01,01,16,18,80,6.7,99,99,99,99,999,1021.4,11.5,14.4,999,99,99
2024,01,01,17,18,70,7.2,99,99,99,99,999,1022.2,11.2,14.5,999,99,99
2024,01,01,18,18,70,3.1,99,99,99,99,999,1023.1,11.2,14.4,999,99,99
2024,01,01,19,18,20,3.6,99,99,99,99,999,1022.8,11.9,14.5,999,99,99
2024,01,01,20,18,50,5.1,99,99,99,99,999,1021.4,12.9,14.5,999,99,99
2024,01,01,21,18,30,3.1,99,99,99,99,999,1020.9,13.8,14.5,999,99,99
2024,01,01,22,18,330,2.6,99,99,99,99,999,1020.8,14.1,14.6,999,99,99
2024,01,02,00,18,290,6.2,99,99,99,99,999,1021.5,14.1,14.7,999,99,99
2024,01,02,01,18,290,4.1,99,99,99,99,999,1021.6,13.9,14.6,999,99,99
2024,01,02,02,18,290,4.1,99,99,99,99,999,1022,14.1,14.6,999,99,99
2024,01,02,03,18,290,3.6,99,99,99,99,999,1022.4,14.1,14.6,999,99,99
2024,01,02,04,18,290,3.6,99,99,99,99,999,1022.7,14.2,14.5,999,99,99
2024,01,02,05,18,310,3.1,99,99,99,99,999,1023,14,14.5,999,99,99
2024,01,02,06,18,10,1.5,99,99,99,99,999,1023.1,13.6,14.5,999,99,99
2024,01,02,07,18,0,0,99,99,99,99,999,1023.3,13.2,14.5,999,99,99
2024,01,02,08,18,260,0.5,99,99,99,99,999,1023.3,13.3,14.5,999,99,99
2024,01,02,09,18,0,0,99,99,99,99,999,1023.2,13.2,14.6,999,99,99
2024,01,02,10,18,90,4.1,99,99,99,99,999,1023.1,12.5,14.6,999,99,99
2024,01,02,11,18,90,6.7,99,99,99,99,999,1023,11.8,14.6,999,99,99
2024,01,02,12,18,90,6.7,99,99,99,99,999,1022.6,11.6,14.6,999,99,99
2024,01,02,13,18,100,4.6,99,99,99,99,999,1022.9,10.9,14.5,999,99,99
2024,01,02,14,18,30,2.1,99,99,99,99,999,1023.7,11.7,14.5,999,99,99
2024,01,02,15,18,50,2.1,99,99,99,99,999,1023.8,11.9,14.5,999,99,99
2024,01,02,16,18,160,2.1,99,99,99,99,999,1023.9,12.8,14.5,999,99,99
2024,01,02,17,18,90,4.1,99,99,99,99,999,1024.3,12.2,14.5,999,99,99
2024,01,02,18,18,120,2.1,99,99,99,99,999,1024.8,13,14.5,999,99,99
2024,01,02,19,18,120,2.6,99,99,99,99,999,1023.9,13.2,14.5,999,99,99
2024,01,02,20,18,170,1.5,99,99,99,99,999,1023.1,13.7,14.5,999,99,99
2024,01,02,21,18,200,4.6,99,99,99,99,999,1021.6,14.3,14.4,999,99,99
2024,01,02,22,18,200,9.8,99,99,99,99,999,1020.9,14.3,14.4,999,99,99
2024,01,02,22,58,190,9.8,99,99,99,99,999,1020.5,14.3,14.4,999,99,99
2024,01,03,00,18,180,12.4,99,99,99,99,999,1019.5,14.3,14.3,999,99,99
2024,01,03,02,28,180,12.9,99,99,99,99,999,1018.3,12.9,14.3,999,99,99
2024,01,03,03,18,240,7.7,99,99,99,99,999,1019,12.5,14.3,999,99,99
2024,01,03,04,18,270,7.2,99,99,99,99,999,1019.3,11.9,14.4,999,99,99
2024,01,03,05,18,270,8.2,99,99,99,99,999,1020.1,13.8,14.5,999,99,99
2024,01,03,06,18,260,8.8,99,99,99,99,999,1020,13.4,14.4,999,99,99
2024,01,03,07,18,270,7.2,99,99,99,99,999,1020.5,13,14.4,999,99,99
2024,01,03,08,18,260,7.2,99,99,99,99,999,1020,13.3,14.3,999,99,99
2024,01,03,09,18,290,9.3,99,99,99,99,999,1019.8,12.8,14.3,999,99,99
2024,01,03,10,18,260,8.2,99,99,99,99,999,1019.7,13.3,14.4,999,99,99
2024,01,03,11,18,250,6.2,99,99,99,99,999,1020.7,11.6,14.4,999,99,99
2024,01,03,12,18,270,3.1,99,99,99,99,999,1019.8,12.2,14.4,999,99,99
2024,01,03,13,18,210,3.1,99,99,99,99,999,1019.7,12.4,14.5,999,99,99
2024,01,03,14,18,260,1.5,99,99,99,99,999,1020.2,12.6,14.4,999,99,99
2024,01,03,15,18,90,5.7,99,99,99,99,999,1020.3,12,14.3,999,99,99
2024,01,03,16,18,100,3.6,99,99,99,99,999,1021.8,11,14.3,999,99,99
2024,01,03,17,18,230,1,99,99,99,99,999,1023,11.8,14.3,999,99,99
2024,01,03,18,18,280,1.5,99,99,99,99,999,1023.5,12,14.3,999,99,99
2024,01,03,19,18,310,2.1,99,99,99,99,999,1022.5,12.2,14.4,999,99,99
2024,01,03,20,18,290,2.1,99,99,99,99,999,1021.9,12.4,14.5,999,99,99
2024,01,03,21,18,300,9.8,99,99,99,99,999,1021.1,13.5,14.6,999,99,99
2024,01,03,22,18,300,10.8,99,99,99,99,999,1020.9,13.4,14.6,999,99,99
2024,01,03,22,58,300,9.8,99,99,99,99,999,1021,13.4,14.6,999,99,99
2024,01,04,00,18,290,12.4,99,99,99,99,999,1021.7,13.5,14.5,999,99,99
2024,01,04,01,18,300,10.8,99,99,99,99,999,1022.3,13.4,14.5,999,99,99
2024,01,04,02,18,310,12.4,99,99,99,99,999,1022.9,13.4,14.5,999,99,99
2024,01,04,03,18,310,9.3,99,99,99,99,999,1023.6,13.4,14.6,999,99,99
2024,01,04,04,18,320,7.2,99,99,99,99,999,1024.2,13.3,14.6,999,99,99
2024,01,04,05,18,310,6.7,99,99,99,99,999,1024.4,13.2,14.5,999,99,99
2024,01,04,06,18,310,10.8,99,99,99,99,999,1024.3,13.1,14.5,999,99,99
2024,01,04,07,18,320,7.7,99,99,99,99,999,1024.7,12.8,14.5,999,99,99
2024,01,04,08,18,320,9.8,99,99,99,99,999,1024.5,12.8,14.5,999,99,99
2024,01,04,09,18,320,8.2,99,99,99,99,999,1024.5,12.6,14.5,999,99,99
2024,01,04,10,18,330,8.2,99,99,99,99,999,1024.7,12.4,14.4,999,99,99
2024,01,04,11,18,360,6.2,99,99,99,99,999,1024.9,12.1,14.4,999,99,99
2024,01,04,12,18,320,5.7,99,99,99,99,999,1025.3,12,14.4,999,99,99
2024,01,04,13,18,310,8.2,99,99,99,99,999,1025.3,12.5,14.4,999,99,99
2024,01,04,14,18,330,7.2,99,99,99,99,999,1025.6,12.3,14.4,999,99,99
2024,01,04,15,18,340,4.6,99,99,99,99,999,1026,11.6,14.5,999,99,99
2024,01,04,16,18,340,5.7,99,99,99,99,999,1026.7,12,14.5,999,99,99
2024,01,04,17,18,10,5.1,99,99,99,99,999,1027.6,12.3,14.6,999,99,99
2024,01,04,19,18,320,1,99,99,99,99,999,1027.5,12.3,14.6,999,99,99
2024,01,04,20,18,30,1.5,99,99,99,99,999,1026.7,12.7,14.6,999,99,99
2024,01,04,21,18,300,0.5,99,99,99,99,999,1025.8,13.3,14.8,999,99,99
2024,01,04,22,18,310,5.7,99,99,99,99,999,1025,13.7,14.6,999,99,99
2024,01,04,23,18,300,7.7,99,99,99,99,999,1024.8,13.8,14.6,999,99,99
2024,01,05,00,18,300,9.8,99,99,99,99,999,1024.9,13.8,14.5,999,99,99
2024,01,05,01,18,300,8.8,99,99,99,99,999,1024.7,13.7,14.5,999,99,99
2024,01,05,02,18,300,8.8,99,99,99,99,999,1025.4,13.8,14.5,999,99,99
2024,01,05,03,18,290,8.2,99,99,99,99,999,1025.3,13.7,14.4,999,99,99
2024,01,05,04,18,310,6.2,99,99,99,99,999,1026.1,13.6,14.4,999,99,99
2024,01,05,05,18,340,4.1,99,99,99,99,999,1025.9,13.3,14.4,999,99,99
2024,01,05,06,18,340,2.6,99,99,99,99,999,1026.4,13.2,14.4,999,99,99
2024,01,05,07,18,10,2.1,99,99,99,99,999,1025.9,12.8,14.4,999,99,99
2024,01,05,08,08,20,2.1,99,99,99,99,999,1025.8,12.7,14.3,999,99,99
2024,01,05,08,58,60,3.1,99,99,99,99,999,1025.3,12.7,14.3,999,99,99
2024,01,05,09,58,50,2.6,99,99,99,99,999,1025.1,12.4,14.3,999,99,99
2024,01,05,10,58,40,2.1,99,99,99,99,999,1025.1,12,14.3,999,99,99
2024,01,05,11,58,70,3.1,99,99,99,99,999,1024.9,11.8,14.3,999,99,99
2024,01,05,12,58,70,2.6,99,99,99,99,999,1025.2,11.9,14.3,999,99,99
2024,01,05,13,58,100,3.1,99,99,99,99,999,1025.2,11.9,14.3,999,99,99
2024,01,05,14,58,130,2.1,99,99,99,99,999,1025.6,12.2,14.3,999,99,99
2024,01,05,15,58,20,2.1,99,99,99,99,999,1026.5,12.6,14.3,999,99,99
2024,01,05,16,58,60,1.5,99,99,99,99,999,1026.8,12.2,14.3,999,99,99
2024,01,05,17,58,80,3.1,99,99,99,99,999,1027.4,11.7,14.3,999,99,99
2024,01,05,18,58,110,2.6,99,99,99,99,999,1027.1,12.3,14.3,999,99,99
2024,01,05,19,58,120,1.5,99,99,99,99,999,1026.6,13.2,14.3,999,99,99
2024,01,05,21,18,0,0,99,99,99,99,999,1025.1,13.6,14.5,999,99,99
2024,01,05,22,18,0,0,99,99,99,99,999,1024.7,14.2,14.6,999,99,99
2024,01,05,23,18,150,1.5,99,99,99,99,999,1024.6,14.2,14.8,999,99,99
2024,01,06,00,18,50,1.5,99,99,99,99,999,1024.5,14.6,14.5,999,99,99
2024,01,06,01,18,330,7.7,99,99,99,99,999,1024.7,15.6,14.5,999,99,99
2024,01,06,02,18,290,2.6,99,99,99,99,999,1024.9,14.9,14.5,999,99,99
2024,01,06,03,18,300,5.1,99,99,99,99,999,1024.9,14.3,14.4,999,99,99
2024,01,06,04,18,320,3.6,99,99,99,99,999,1025,14.1,14.5,999,99,99
2024,01,06,05,18,330,2.6,99,99,99,99,999,1025.1,14.1,14.5,999,99,99
2024,01,06,06,18,50,1.5,99,99,99,99,999,1024.7,13.9,14.4,999,99,99
2024,01,06,07,18,90,4.6,99,99,99,99,999,1024.9,13.6,14.4,999,99,99
2024,01,06,08,18,80,5.1,99,99,99,99,999,1024.3,13.1,14.4,999,99,99
2024,01,06,09,18,70,3.6,99,99,99,99,999,1023.5,12.4,14.4,999,99,99
2024,01,06,10,18,60,4.6,99,99,99,99,999,1023.8,11.3,14.4,999,99,99
2024,01,06,11,18,60,6.7,99,99,99,99,999,1023.7,11,14.2,999,99,99
2024,01,06,12,18,80,4.1,99,99,99,99,999,1023.5,10.3,14.1,999,99,99
2024,01,06,13,18,70,6.7,99,99,99,99,999,1023.1,10.4,14.1,999,99,99
2024,01,06,14,18,50,5.1,99,99,99,99,999,1023.3,9.6,14.1,999,99,99
2024,01,06,15,18,60,5.7,99,99,99,99,999,1023.1,9.4,14.1,999,99,99
2024,01,06,16,18,60,7.7,99,99,99,99,999,1023.2,9.2,14.1,999,99,99
2024,01,06,17,18,70,4.1,99,99,99,99,999,1023.6,9.4,14.1,999,99,99
